image_path,text
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\13.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\14.jpg,\theta _ { 2 } = \theta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\15.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\16.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\17.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\18.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\19.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\20.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\21.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\22.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\23.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\24.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\25.jpg,7 \times 1 5 4 \neq - 1 3 6 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\26.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\27.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\28.jpg,x ^ { i + 2 j \times k ^ { 3 } - \frac { j } { 2 i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\29.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\30.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\31.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\32.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\33.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\34.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\35.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\36.jpg,\sqrt { 5 + 2 \sqrt { 6 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\37.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\38.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\39.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\40.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\41.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\42.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\43.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\44.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\45.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\46.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\47.jpg,\frac { \sqrt { 3 } } { 4 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\48.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\49.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\50.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\51.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\52.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\53.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\54.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\55.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\56.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\57.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\58.jpg,\theta + \pi
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\59.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\60.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\61.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\62.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\63.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\64.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\65.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\66.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\67.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\68.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\69.jpg,( 4 7 \times 1 1 1 ) + 8 5 \geq 5 3 0 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\70.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\71.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\72.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\73.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\74.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\75.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\76.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\77.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\78.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\79.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\80.jpg,a + c = b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\81.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\82.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\83.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\84.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\85.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\86.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\87.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\88.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\89.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\90.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\91.jpg,3 n - 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\92.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\93.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\94.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\95.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\96.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\97.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\98.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\99.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\100.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\101.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\102.jpg,0 \pm 5 2 \times ( 1 6 9 + 1 9 6 - 5 8 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\103.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\104.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\105.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\106.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\107.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\108.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\109.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\110.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\111.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\112.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\113.jpg,7 8 \pm 5 \times 4 7
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\114.jpg,x _ { 2 } = \frac { - 1 + i \sqrt { 7 } } { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\115.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\116.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\117.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\118.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\119.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\120.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\121.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\122.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\123.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\124.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\125.jpg,x = \alpha _ { 1 } y _ { 1 } + \ldots + \alpha _ { n + 1 } y _ { n + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\126.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\127.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\128.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\129.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\130.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\131.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\132.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\133.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\134.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\135.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\136.jpg,( z ^ { 2 } + y _ { 0 } - a _ { 0 } z - b _ { 0 } ) ( z ^ { 2 } + y _ { 0 } + a _ { 0 } z + b _ { 0 } ) = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\137.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\138.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\139.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\140.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\141.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\142.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\143.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\144.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\145.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\146.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\147.jpg,"x _ { 0 } , y _ { 0 } , z _ { 0 }"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\148.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\149.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\150.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\151.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\152.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\153.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\154.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\155.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\156.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\157.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\158.jpg,n - i
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\159.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\160.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\161.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\162.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\163.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\164.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\165.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\166.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\167.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\168.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\169.jpg,\sum _ { 0 } ^ { \infty } \frac { 1 } { n ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\170.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\171.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\172.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\173.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\174.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\175.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\176.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
